
> backend@1.0.0 start
> node server.js

[dotenv@17.3.1] injecting env (6) from .env -- tip: ΓÜÖ∩╕Å  load multiple .env files with { path: ['.env.local', '.env'] }
Server running on 5000
MongoDB connected
2026-02-27T05:48:07.043Z - POST /api/auth/request-otp
[EmailService] OTP sent to raghavendraraok63@gmail.com: <4757afdb-fd5f-1d09-33f8-d590def6727e@gmail.com>
2026-02-27T05:48:33.460Z - POST /api/auth/verify-otp
2026-02-27T05:49:14.515Z - POST /api/auth/complete-onboarding
2026-02-27T05:49:14.800Z - GET /api/cases
2026-02-27T05:49:14.807Z - GET /api/activities/global
2026-02-27T05:49:14.985Z - GET /api/cases
2026-02-27T05:49:14.991Z - GET /api/activities/global
2026-02-27T05:51:31.773Z - POST /api/auth/request-otp
[EmailService] OTP sent to raghavendraraok63@gmail.com: <b378cb8d-0748-3e55-49bd-5c75f1a1fe2c@gmail.com>
2026-02-27T05:52:49.216Z - POST /api/auth/verify-otp
2026-02-27T05:52:49.615Z - GET /api/cases
2026-02-27T05:52:49.621Z - GET /api/activities/global
2026-02-27T05:52:49.928Z - GET /api/cases
2026-02-27T05:52:49.936Z - GET /api/activities/global
2026-02-27T05:52:56.884Z - GET /api/cases?
2026-02-27T05:52:57.307Z - GET /api/cases?
2026-02-27T05:52:57.846Z - GET /api/cases?
2026-02-27T05:52:58.264Z - GET /api/cases?
2026-02-27T05:52:58.574Z - GET /api/cases?
2026-02-27T05:52:59.164Z - GET /api/cases?
2026-02-27T05:52:59.675Z - GET /api/cases?
2026-02-27T05:53:00.174Z - GET /api/cases?
2026-02-27T05:53:00.667Z - GET /api/cases?
2026-02-27T05:53:01.199Z - GET /api/cases?
2026-02-27T05:53:01.719Z - GET /api/cases?
2026-02-27T05:53:02.224Z - GET /api/cases?
2026-02-27T05:53:02.729Z - GET /api/cases?
2026-02-27T05:53:03.248Z - GET /api/cases?
2026-02-27T05:53:03.775Z - GET /api/cases?
2026-02-27T05:53:04.279Z - GET /api/cases?
2026-02-27T05:53:04.790Z - GET /api/cases?
2026-02-27T05:53:05.307Z - GET /api/cases?
2026-02-27T05:53:05.818Z - GET /api/cases?
2026-02-27T05:53:06.320Z - GET /api/cases?
2026-02-27T05:53:06.830Z - GET /api/cases?
2026-02-27T05:53:07.354Z - GET /api/cases?
2026-02-27T05:53:07.852Z - GET /api/cases?
2026-02-27T05:53:08.422Z - GET /api/cases?
2026-02-27T05:53:08.895Z - GET /api/cases?
2026-02-27T05:53:09.419Z - GET /api/cases?
2026-02-27T05:53:10.003Z - GET /api/cases?
2026-02-27T05:53:10.450Z - GET /api/cases?
2026-02-27T05:53:11.012Z - GET /api/cases?
2026-02-27T05:53:11.623Z - GET /api/cases?
2026-02-27T05:53:12.170Z - GET /api/cases?
2026-02-27T05:53:12.672Z - GET /api/cases?
2026-02-27T05:53:13.151Z - GET /api/cases?
2026-02-27T05:53:13.691Z - GET /api/cases?
2026-02-27T05:53:14.164Z - GET /api/cases?
2026-02-27T05:53:14.723Z - GET /api/cases?
2026-02-27T05:53:15.238Z - GET /api/cases?
2026-02-27T05:53:15.764Z - GET /api/cases?
2026-02-27T05:53:16.309Z - GET /api/cases?
2026-02-27T05:53:16.862Z - GET /api/cases?
2026-02-27T05:53:17.377Z - GET /api/cases?
2026-02-27T05:53:17.899Z - GET /api/cases?
2026-02-27T05:53:18.407Z - GET /api/cases?
2026-02-27T05:53:18.911Z - GET /api/cases?
2026-02-27T05:53:19.423Z - GET /api/cases?
2026-02-27T05:53:19.949Z - GET /api/cases?
2026-02-27T05:53:20.420Z - GET /api/cases?
2026-02-27T05:53:20.966Z - GET /api/cases?
2026-02-27T05:53:21.473Z - GET /api/cases?
2026-02-27T05:53:21.953Z - GET /api/cases?
2026-02-27T05:53:22.515Z - GET /api/cases?
2026-02-27T05:53:23.021Z - GET /api/cases?
2026-02-27T05:53:23.530Z - GET /api/cases?
2026-02-27T05:53:43.868Z - GET /api/cases?
2026-02-27T05:53:44.415Z - GET /api/cases?
2026-02-27T05:53:44.932Z - GET /api/cases?
2026-02-27T05:53:45.441Z - GET /api/cases?
2026-02-27T05:53:46.054Z - GET /api/cases?
2026-02-27T05:53:46.560Z - GET /api/cases?
2026-02-27T05:53:47.079Z - GET /api/cases?
2026-02-27T05:53:47.558Z - GET /api/cases?
2026-02-27T05:53:47.820Z - GET /api/clients
2026-02-27T05:53:47.955Z - GET /api/clients
2026-02-27T05:53:48.082Z - GET /api/clients
2026-02-27T05:53:48.337Z - GET /api/clients
2026-02-27T05:53:48.602Z - GET /api/clients
2026-02-27T05:53:48.813Z - GET /api/clients
2026-02-27T05:53:49.117Z - GET /api/clients
2026-02-27T05:53:49.288Z - GET /api/clients
2026-02-27T05:53:49.530Z - GET /api/clients
2026-02-27T05:53:49.730Z - GET /api/clients
2026-02-27T05:53:49.945Z - GET /api/clients
2026-02-27T05:53:50.114Z - GET /api/clients
2026-02-27T05:53:50.242Z - GET /api/clients
2026-02-27T05:53:50.446Z - GET /api/clients
2026-02-27T05:53:50.654Z - GET /api/clients
2026-02-27T05:53:50.858Z - GET /api/clients
2026-02-27T05:53:51.062Z - GET /api/clients
2026-02-27T05:53:51.267Z - GET /api/clients
